category,sub_title,Engine Power,Max. Speed,Body Capacity,Rated Payload
Electric Dump Trucks,730E-10,1492/2000 kW/HP,"64,5 km/h",133 m³ SAE,186 t.
Electric Dump Trucks,830E-5,1865/2500 kW/HP,"64,5 km/h",158 m³ SAE,227 t.
Electric Dump Trucks,930E-5,2014/2700 kW/HP,"64,5 km/h",202 m³ SAE,290 t.
