category,sub_title,Engine Power,Bucket capacity,Tipping Load,Operating Weight
Compact Wheel Loaders,WA70M-8,"46,2/62 kW/HP","0,75-1,25 m³","4,22 t.","4,98-5,3 t."
Compact Wheel Loaders,WA80M-8,"53,7/72 kW/HP","0,8-1,25 m³","4,74 t.","5,69-5,995 t."
Compact Wheel Loaders,WA100M-8,"69,8/93,6 kW/HP","1,05-1,8 m³","5,93 t.","7,075-7,465 t."
