category,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Wheeled Excavators,PW148-11,110/148 kW/HP,"0,86 m³","5,362 m","13,865-16,1 t."
Wheeled Excavators,PW158-11,110/148 kW/HP,"0,94 m³","5,785 m","15,125-17,36 t."
Wheeled Excavators,PW160-11,110/148 kW/HP,"1,13 m³","5,81 m","16,03-18,415 t."
Wheeled Excavators,PW180-11,123/165 kW/HP,"1,13 m³","6,044 m","17,6-20,6 t."
