category,sub_title,Engine Power,Rated Payload,Max. Speed,Operating Weight
Articulated Dump Trucks,HM300-5,248/332 kW/HP,28 t.,"58,6 km/h","25,4-53,5 t."
Articulated Dump Trucks,HM400-5,353/473 kW/HP,40 t.,56 km/h,"35-75,1 t."
