category,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Mining excavators,PC2000-11,"794/1,065 kW/HP",12 m³,"9,235 m","201,5 t."
Mining excavators,PC3000-11,940/1260 kW/HP,16 m³,,250-261 t.
Mining excavators,PC4000-11,1400/1875 kW/HP,22 m³,,398-409 t.
Mining excavators,PC5500-11,1880/2520 kW/HP,29 m³,,533-552 t.
Mining excavators,PC7000-11,2500/3350 kW/HP,38 m³,,678-699 t.
Mining excavators,PC8000-11,3000/4020 kW/HP,42 m³,,752-773 t.
