category,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Wheeled Midi Excavators,PW98MR-11,"50,7/68 kW/HP","0,282 m³",,"10,09-10,76 t."
Wheeled Midi Excavators,PW138MR-11,"72,6/97,3 kW/HP","0,4 m³","4,3 m","13-14,3 t."
