category,sub_title,Engine Power,Bucket Capacity,Digging Depth,Operating Weight
Crawler Midi Excavators,PC80MR-5,"46,2/62 kW/HP","0,12-0,27 m³","4,335 m",8 t.
Crawler Midi Excavators,PC88MR-11,"50,7/68 kW/HP","0,09-0,34 m³","4,565 m","8,5-8,75 t."
